eco2,humidity,pressure,raw_ethanol,raw_h2,temperature,timestamp,fire_alarm
400,70.11423,1006.06,3166,499,32.72419,9,0
409,70.06827,1006.04999,3181,431,32.69844,11,0
400,70.03365,1006.01001,3197,436,32.728,12,0
400,70.01781,1006.03998,3200,435,32.76405,13,0
400,69.98224,1006.09003,3212,429,32.77359,14,0
504,69.94447,1006.04999,3214,408,32.78961,15,0
608,70.00075,1005.96002,3218,400,32.81021,16,0
473,70.04767,1006.01001,3218,389,32.82604,17,0
473,70.21056,1006.02002,3224,371,32.8434,18,0
400,70.32271,1006.06,3228,367,32.85694,19,0
432,70.38794,1006.07001,3228,361,32.85103,20,0
423,70.38136,1006.10999,3228,345,32.86419,21,0
411,70.41302,1006.03003,3230,341,32.8804,22,0
431,70.39995,1006.0,3235,337,32.8846,23,0
404,70.38898,1005.97998,3234,330,32.90596,24,0
400,70.3618,1005.98999,3226,324,32.90195,25,0
443,70.3044,1005.98999,3230,321,32.9237,26,0
412,70.20064,1006.01001,3229,318,32.92389,27,0
400,70.18776,1006.06,3224,322,32.9628,28,0
444,70.28522,1006.02002,3225,311,32.95784,29,0
588,70.37525,1006.01001,3226,306,32.98244,30,0
575,70.39833,1006.07001,3221,304,32.99713,31,0
513,70.3722,1006.02002,3223,308,33.02002,32,0
463,70.3371,1006.07001,3219,298,33.02517,33,0
460,70.28036,1005.97998,3216,303,33.0471,34,0
421,70.12434,1006.01001,3219,291,32.98721,35,0
400,69.93961,1006.09998,3214,280,32.94697,36,0
400,69.85178,1006.06,3214,280,32.91473,37,0
400,69.69013,1006.06,3213,279,32.96223,38,0
406,69.56206,1006.12,3212,280,32.9628,39,0
423,69.54155,1006.15002,3208,278,32.97043,40,0
402,69.38972,1006.08002,3213,274,32.91454,41,0
412,69.32059,1006.04999,3201,276,32.88364,42,0
421,69.28062,1006.01001,3204,276,32.86133,43,0
466,69.24114,1005.98999,3204,280,32.87201,44,0
492,69.17047,1006.03003,3197,309,32.87029,45,0
416,69.13452,1006.10999,3197,340,32.85484,46,0
409,69.05145,1006.06,3198,334,32.87792,47,0
420,69.0176,1006.09003,3189,323,32.8331,48,0
400,69.0753,1006.09003,3191,322,32.81898,49,0
412,69.08836,1006.08002,3184,304,32.80411,50,0
400,69.03677,1006.03998,3191,300,32.76596,51,0
400,69.04221,1006.08002,3189,289,32.72915,52,0
400,69.06882,1006.13,3184,268,32.69157,53,0
415,69.09275,1006.07001,3188,257,32.66811,54,0
413,69.13443,1006.02002,3184,244,32.66659,55,0
424,69.16447,1006.0,3182,271,32.65228,56,0
430,69.14196,1006.02002,3181,271,32.67365,57,0
435,69.15073,1006.08002,3180,267,32.6725,58,0
437,69.13719,1006.07001,3172,245,32.65495,59,0
